Feature,Importance
lat,44.030599867781994
population,43.255198559700126
lon,36.357634630297305
year,29.37507049371057
gdp_per_capita,17.689756584604133
canopy_share,14.342265856055391
nightlight,13.01208883472856
pres,9.009064062162029
canopy_x_population_medium_canopy_low_pop,4.339337079932865
wind,3.3404332705682207
days_in_bin_25_30,3.3361935075424696
canopy_x_gdp_no_canopy_high_gdp,1.6738836776749444
canopy_x_population_low_canopy_medium_pop,1.668222864154826
days_in_bin_5_10_x_canopy,1.3403739613378811
canopy_x_humidity_no_canopy_RH_mid,1.335835810935872
days_in_bin_10_15,1.3348948835653929
canopy_x_population,1.0044001775278677
days_in_bin_5_10,1.0026875858334472
canopy_x_nightlight_medium_canopy_urban_high,1.0023423705624683
days_in_bin_30_35,0.6681647245369872
gdp_x_humidity,0.6678940104087417
canopy_x_gdp_high_canopy_low_gdp,0.37259538936181774
gdp_x_precipitation_low_gdp_rain_days_0_1mm,0.351482419323343
canopy_x_nightlight_medium_canopy_urban_low,0.3340915693675945
days_in_bin_25_30_x_canopy,0.33395837396393896
days_in_bin_below_neg10,0.3337953459238084
population_high_pop,0.07354646832219662
population_low_pop,0.05784678727307
nightlight_urban_low,0.007793358914860812
gdp_low_gdp,0.004044746664127626
canopy_x_population_high_canopy_low_pop,0.0027033246837444257
nightlight_urban_high,0.0024071989285619952
canopy_x_nightlight,0.0010934841451379336
canopy_x_nightlight_high_canopy_urban_low,0.0008944004129101957
month,0.0006271847611143481
rhu,0.0006134358766981147
population_x_humidity,0.000532222361227895
days_in_bin_30_35_x_canopy,0.00046756928754686315
days_in_bin_10_15_x_canopy,0.0003729657089561267
days_in_bin_20_25_x_canopy,0.00033107004382038134
days_in_bin_15_20_x_canopy,0.0003215198835091765
gdp_x_precipitation,0.0002632468393041452
gdp_category,0.00018162917291296432
canopy_x_population_high_canopy_medium_pop,8.205839761209504e-05
gdp_high_gdp,4.849133504537881e-05
canopy_x_gdp_high_canopy_high_gdp,3.8657228112972494e-05
canopy_x_population_high_canopy_high_pop,3.8421927807009766e-05
gdp_x_precipitation_high_gdp_rain_days_0_1mm,3.675477808761875e-05
canopy_x_nightlight_high_canopy_urban_high,2.8389837596099686e-05
population_medium_pop,2.367333916500886e-05
population_x_humidity_medium_pop_RH_high,1.6090978518605235e-05
population_category,1.5470841062361574e-05
gdp_x_humidity_high_gdp_RH_mid,1.1300060413480105e-05
nightlight_category,6.652546064971802e-06
gdp_x_humidity_high_gdp_RH_high,3.276283904638788e-06
population_x_humidity_low_pop_RH_high,2.884693267793412e-06
gdp_x_humidity_low_gdp_RH_high,2.792086727597703e-06
precipitation_rain_days_0_1mm,2.2310757614732303e-06
population_x_humidity_high_pop_RH_high,1.7291880635325268e-06
population_x_humidity_high_pop_RH_mid,1.2577199040300773e-06
